type_path,type_kind,api_family,is_generic,lifetime_params,type_params,elicit_impl,proof_test,composition_test,row_kind,primary_gap_kind,our_traits_complete,direct_our_traits_complete,covered_indirectly,coverage_provider,wrapper_paths,direct_missing_our_traits,feature_unlock_possible,feature_owner_crate,blocked_reason,has_serialize,has_deserialize,has_json_schema,has_elicitation,has_elicit_introspect,has_elicit_spec,has_elicit_prompt_tree,has_to_code_literal,can_be_direct,missing_external_traits,missing_our_traits,candidate_unlock_features,action,notes
wkt::error::Error,Enum,wkt::error::Error,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,wkt,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `wkt::error::Error`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
wkt::geo_types_from_wkt::Error,Enum,wkt::geo_types_from_wkt::Error,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,wkt,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `wkt::geo_types_from_wkt::Error`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
geo_types::geometry::Geometry,Enum,geo_types::geometry::Geometry,false,,,Missing,Covered,Missing,Covered,,true,false,true,wrapper,elicitation::primitives::geo_types::geometry::GeoGeometry,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,wkt,wrapper coverage reduces direct trait gaps; remaining uncovered traits:  (wrappers: elicitation::primitives::geo_types::geometry::GeoGeometry),absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),,,,
geo_types::geometry::point::Point,Struct,geo_types::geometry::point,false,,,Missing,Missing,Missing,Covered,,true,false,true,wrapper,elicitation::primitives::geo_types::point::GeoPoint,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,wkt,wrapper coverage reduces direct trait gaps; remaining uncovered traits:  (wrappers: elicitation::primitives::geo_types::point::GeoPoint),absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),,,,
wkt::Wkt,Enum,wkt::Wkt,true,,T,Missing,Missing,Missing,Covered,,true,false,true,wrapper,elicitation::primitives::wkt_types::wkt_geom::WktGeom,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,wkt,wrapper coverage reduces direct trait gaps; remaining uncovered traits:  (wrappers: elicitation::primitives::wkt_types::wkt_geom::WktGeom),absent,present,absent,absent,absent,absent,absent,absent,false,Serialize(absent);JsonSchema(absent),,,,
