foreign_crate,foreign_type,wrapper_path,wrapper_elicit_complete,wrapper_missing_our_traits,foreign_missing_our_traits
wgpu_types,wgpu_types::texture::TextureDimension,elicitation::primitives::wgpu_types::trenchcoats::WgpuTextureDimension,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wgpu_types,wgpu_types::texture::TextureUsages,elicitation::primitives::wgpu_types::trenchcoats::WgpuTextureUsages,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wgpu_types,wgpu_types::texture::TextureViewDimension,elicitation::primitives::wgpu_types::trenchcoats::WgpuTextureViewDimension,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wgpu_types,wgpu_types::texture::format::TextureFormat,elicitation::primitives::wgpu_types::trenchcoats::WgpuTextureFormat,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wgpu_types,wgpu_types::vertex::VertexFormat,elicitation::primitives::wgpu_types::trenchcoats::WgpuVertexFormat,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wgpu_types,wgpu_types::vertex::VertexStepMode,elicitation::primitives::wgpu_types::trenchcoats::WgpuVertexStepMode,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
winit,winit::event::ElementState,elicitation::primitives::winit_types::trenchcoats::WinitElementStateSelect,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
winit,winit::event::MouseButton,elicitation::primitives::winit_types::trenchcoats::WinitMouseButtonSelect,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
winit,winit::event::TouchPhase,elicitation::primitives::winit_types::trenchcoats::WinitTouchPhaseSelect,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
winit,winit::keyboard::KeyCode,elicitation::primitives::winit_types::trenchcoats::WinitKeyCodeSelect,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
winit,winit::window::Theme,elicitation::primitives::winit_types::trenchcoats::WinitThemeSelect,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
winit,winit::window::WindowLevel,elicitation::primitives::winit_types::trenchcoats::WinitWindowLevelSelect,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkb,wkb::common::Dimension,elicitation::primitives::wkb_types::dimension::WkbDimension,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkb,wkb::common::Endianness,elicitation::primitives::wkb_types::endianness::WkbEndianness,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkb,wkb::writer::options::WriteOptions,elicitation::primitives::wkb_types::write_options::WkbWriteOptions,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkt,wkt::Wkt,elicitation::primitives::wkt_types::wkt_geom::WktGeom,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkt,wkt::types::coord::Coord,elicitation::primitives::wkt_types::coord::WktCoord,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkt,wkt::types::geometrycollection::GeometryCollection,elicitation::primitives::wkt_types::geometry_collection::WktGeometryCollection,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkt,wkt::types::linestring::LineString,elicitation::primitives::wkt_types::linestring::WktLineString,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkt,wkt::types::multilinestring::MultiLineString,elicitation::primitives::wkt_types::multilinestring::WktMultiLineString,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkt,wkt::types::multipoint::MultiPoint,elicitation::primitives::wkt_types::multipoint::WktMultiPoint,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkt,wkt::types::multipolygon::MultiPolygon,elicitation::primitives::wkt_types::multipolygon::WktMultiPolygon,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkt,wkt::types::point::Point,elicitation::primitives::wkt_types::point::WktPoint,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
wkt,wkt::types::polygon::Polygon,elicitation::primitives::wkt_types::polygon::WktPolygon,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral
