item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
elicit_geo::workflow::measurements_plugin::EuclideanDistancePointLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::EuclideanDistancePointPointParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::EuclideanDistancePointPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::GeoMeasurementsPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::HausdorffDistanceLinestringsParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::LineEuclideanLengthParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::LinestringEuclideanLengthParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::MeasurementComputed,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::MultiPolygonAreaParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::PolygonSignedAreaParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::PolygonUnsignedAreaParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::RectAreaParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::euclidean_distance_point_linestring_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::euclidean_distance_point_point_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::euclidean_distance_point_polygon_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::hausdorff_distance_linestrings_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::line_euclidean_length_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::linestring_euclidean_length_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::multipolygon_area_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::polygon_area_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::polygon_signed_area_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::measurements_plugin::rect_area_descriptor,Function,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::GeoPredicatesPlugin,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::LinestringIntersectsLinestringParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::PointWithinPolygonParams,Struct,Extra,,,,,,,"in shadow, not in target"
elicit_geo::workflow::predicates_plugin::PointWithinRectParams,Struct,Extra,,,,,,,"in shadow, not in target"
