item_path,item_kind,status,shadow_item,drift_confidence,notes
elicit_redb::backend::RedbBackend,Struct,Extra,,,"in shadow, not in target"
elicit_redb::plugin::RedbCtx,Struct,Extra,,,"in shadow, not in target"
elicit_redb::plugin::RedbPlugin,Struct,Extra,,,"in shadow, not in target"
elicit_redb::table_def::ReadTableStrStr,Struct,Extra,,,"in shadow, not in target"
elicit_redb::table_def::ReadTableU64U64,Struct,Extra,,,"in shadow, not in target"
elicit_redb::table_def::TableStrStr,Struct,Extra,,,"in shadow, not in target"
elicit_redb::table_def::TableU64U64,Struct,Extra,,,"in shadow, not in target"
redb::Result,TypeAlias,Missing,,,
redb::db::Builder,Struct,Missing,,,
redb::db::CacheStats,Struct,Covered,elicit_redb::stats::CacheStats,,
redb::db::Database,Struct,Covered,elicit_redb::database::Database,,
redb::db::MultimapTableDefinition,Struct,Missing,,,
redb::db::ReadOnlyDatabase,Struct,Missing,,,
redb::db::RepairSession,Struct,Missing,,,
redb::db::TableDefinition,Struct,Missing,,,
redb::db::UntypedMultimapTableHandle,Struct,Missing,,,
redb::db::UntypedTableHandle,Struct,Missing,,,
redb::error::CommitError,Enum,Covered,elicit_redb::error::CommitError,,
redb::error::CompactionError,Enum,Covered,elicit_redb::error::CompactionError,,
redb::error::DatabaseError,Enum,Covered,elicit_redb::error::DatabaseError,,
redb::error::Error,Enum,Missing,,,
redb::error::SavepointError,Enum,Covered,elicit_redb::error::SavepointError,,
redb::error::SetDurabilityError,Enum,Covered,elicit_redb::error::SetDurabilityError,,
redb::error::StorageError,Enum,Covered,elicit_redb::error::StorageError,,
redb::error::TableError,Enum,Covered,elicit_redb::error::TableError,,
redb::error::TransactionError,Enum,Covered,elicit_redb::error::TransactionError,,
redb::multimap_table::MultimapRange,Struct,Missing,,,
redb::multimap_table::MultimapTable,Struct,Missing,,,
redb::multimap_table::MultimapValue,Struct,Missing,,,
redb::multimap_table::ReadOnlyMultimapTable,Struct,Missing,,,
redb::multimap_table::ReadOnlyUntypedMultimapTable,Struct,Missing,,,
redb::table::ExtractIf,Struct,Missing,,,
redb::table::Range,Struct,Missing,,,
redb::table::ReadOnlyTable,Struct,Missing,,,
redb::table::ReadOnlyUntypedTable,Struct,Missing,,,
redb::table::Table,Struct,Missing,,,
redb::table::TableStats,Struct,Covered,elicit_redb::stats::TableStats,,
redb::transactions::DatabaseStats,Struct,Covered,elicit_redb::stats::DatabaseStats,,
redb::transactions::Durability,Enum,Missing,,,
redb::transactions::ReadTransaction,Struct,Covered,elicit_redb::transactions::ReadTransaction,,
redb::transactions::WriteTransaction,Struct,Covered,elicit_redb::transactions::WriteTransaction,,
redb::tree_store::btree_base::AccessGuard,Struct,Missing,,,
redb::tree_store::btree_base::AccessGuardMut,Struct,Missing,,,
redb::tree_store::btree_base::AccessGuardMutInPlace,Struct,Missing,,,
redb::tree_store::page_store::backends::InMemoryBackend,Struct,Missing,,,
redb::tree_store::page_store::file_backend::optimized::FileBackend,Struct,Missing,,,
redb::tree_store::page_store::savepoint::Savepoint,Struct,Covered,elicit_redb::savepoint::Savepoint,,
redb::types::TypeName,Struct,Missing,,,
