target_crate,shadow_crate,item_path,item_kind,gap_kind,matched_shadow_item,drift_confidence,notes
axum,elicit_axum,axum::response::redirect::Redirect,Struct,Missing,,,
axum,elicit_axum,axum::response::sse::Event,Struct,Missing,,,
axum,elicit_axum,axum::response::sse::EventDataWriter,Struct,Missing,,,
axum,elicit_axum,axum::response::sse::KeepAlive,Struct,Missing,,,
axum,elicit_axum,axum::response::sse::KeepAliveStream,Struct,Missing,,,
axum,elicit_axum,axum::response::sse::Sse,Struct,Missing,,,
axum,elicit_axum,axum::routing::Router,Struct,Missing,,,
axum,elicit_axum,axum::routing::RouterAsService,Struct,Missing,,,
axum,elicit_axum,axum::routing::RouterIntoService,Struct,Missing,,,
axum,elicit_axum,axum::routing::into_make_service::IntoMakeService,Struct,Missing,,,
axum,elicit_axum,axum::routing::into_make_service::IntoMakeServiceFuture,Struct,Missing,,,
axum,elicit_axum,axum::routing::method_filter::MethodFilter,Struct,Missing,,,
axum,elicit_axum,axum::routing::method_filter::NoMatchingMethodFilter,Struct,Missing,,,
axum,elicit_axum,axum::routing::method_routing::MethodRouter,Struct,Missing,,,
axum,elicit_axum,axum::routing::route::InfallibleRouteFuture,Struct,Missing,,,
axum,elicit_axum,axum::routing::route::Route,Struct,Missing,,,
axum,elicit_axum,axum::routing::route::RouteFuture,Struct,Missing,,,
axum,elicit_axum,axum::serve::IncomingStream,Struct,Missing,,,
axum,elicit_axum,axum::serve::Serve,Struct,Missing,,,
axum,elicit_axum,axum::serve::WithGracefulShutdown,Struct,Missing,,,
axum,elicit_axum,axum::serve::listener::TapIo,Struct,Missing,,,
axum,elicit_axum,axum::serve::private::ServeFuture,Struct,Missing,,,
axum,elicit_axum,axum::test_helpers::test_client::RequestBuilder,Struct,Missing,,,
axum,elicit_axum,axum::test_helpers::test_client::TestClient,Struct,Missing,,,
axum,elicit_axum,axum::test_helpers::test_client::TestResponse,Struct,Missing,,,
axum,elicit_axum,axum_core::BoxError,TypeAlias,Missing,,,
axum,elicit_axum,axum_core::body::Body,Struct,Missing,,,
axum,elicit_axum,axum_core::body::BodyDataStream,Struct,Missing,,,
axum,elicit_axum,axum_core::body::StreamBody,Struct,Missing,,,
axum,elicit_axum,axum_core::error::Error,Struct,Missing,,,
axum,elicit_axum,axum_core::extract::Request,TypeAlias,Missing,,,
axum,elicit_axum,axum_core::extract::default_body_limit::DefaultBodyLimit,Struct,Missing,,,
axum,elicit_axum,axum_core::extract::default_body_limit::DefaultBodyLimitKind,Enum,Missing,,,
axum,elicit_axum,axum_core::extract::default_body_limit::private::DefaultBodyLimitService,Struct,Missing,,,
axum,elicit_axum,axum_core::extract::private::ViaParts,Enum,Missing,,,
axum,elicit_axum,axum_core::extract::private::ViaRequest,Enum,Missing,,,
axum,elicit_axum,axum_core::extract::rejection::BytesRejection,Enum,Missing,,,
axum,elicit_axum,axum_core::extract::rejection::FailedToBufferBody,Enum,Missing,,,
axum,elicit_axum,axum_core::extract::rejection::InvalidUtf8,Struct,Missing,,,
axum,elicit_axum,axum_core::extract::rejection::LengthLimitError,Struct,Missing,,,
axum,elicit_axum,axum_core::extract::rejection::StringRejection,Enum,Missing,,,
axum,elicit_axum,axum_core::extract::rejection::UnknownBodyError,Struct,Missing,,,
axum,elicit_axum,axum_core::response::ErrorResponse,Struct,Missing,,,
axum,elicit_axum,axum_core::response::Response,TypeAlias,Missing,,,
axum,elicit_axum,axum_core::response::Result,TypeAlias,Missing,,,
axum,elicit_axum,axum_core::response::append_headers::AppendHeaders,Struct,Missing,,,
axum,elicit_axum,axum_core::response::into_response::BytesChainBody,Struct,Missing,,,
axum,elicit_axum,axum_core::response::into_response_parts::ResponseParts,Struct,Missing,,,
axum,elicit_axum,axum_core::response::into_response_parts::TryIntoHeaderError,Struct,Missing,,,
axum,elicit_axum,axum_core::response::into_response_parts::TryIntoHeaderErrorKind,Enum,Missing,,,
bevy,elicit_bevy,bevy_a11y::AccessibilityNode,Struct,Missing,,,
bevy,elicit_bevy,bevy_a11y::AccessibilityPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_a11y::AccessibilityRequested,Struct,Missing,,,
bevy,elicit_bevy,bevy_a11y::AccessibilitySystems,Enum,Missing,,,
bevy,elicit_bevy,bevy_a11y::ActionRequest,Struct,Missing,,,
bevy,elicit_bevy,bevy_a11y::ManageAccessibilityUpdates,Struct,Missing,,,
bevy,elicit_bevy,bevy_a11y::_::deserialize::__Field,Enum,Missing,,,
bevy,elicit_bevy,bevy_a11y::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_a11y::_::deserialize::__Visitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_a11y::_::deserialize::__Visitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_a11y::_::deserialize::__Visitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_a11y::_::deserialize::__Visitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::ActiveAnimation,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::AnimatedBy,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::AnimationClip,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::AnimationCurveEvaluators,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::AnimationEvaluationError,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::AnimationEvaluationState,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::AnimationEventData,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::AnimationEventFn,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::AnimationEventTarget,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::CurrentEvaluators,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::TimedAnimationEvent,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::TriggeredEvents,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::TriggeredEventsDir,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::TriggeredEventsIter,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::VariableCurve,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::_::deserialize::__Visitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::animatable::BlendInput,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::animation_curves::AnimatableCurve,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::animation_curves::AnimatableCurveEvaluator,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::animation_curves::AnimatableKeyframeCurve,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::animation_curves::AnimatedField,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::animation_curves::BasicAnimationCurveEvaluator,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::animation_curves::BasicAnimationCurveEvaluatorStackElement,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::animation_curves::EvaluatorId,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::animation_event::AnimationEventTrigger,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::gltf_curves::CubicKeyframeCurve,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::gltf_curves::CubicRotationCurve,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::gltf_curves::SteppedKeyframeCurve,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::gltf_curves::WideCubicKeyframeCurve,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::gltf_curves::WideKeyframeCurveError,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::gltf_curves::WideLinearKeyframeCurve,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::gltf_curves::WideSteppedKeyframeCurve,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::AnimationGraph,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::AnimationGraphAssetLoader,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::AnimationGraphHandle,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::AnimationGraphLoadError,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::AnimationGraphNode,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::AnimationGraphSaveError,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::AnimationNodeType,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::NonPathHandleError,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::SerializedAnimationGraph,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::SerializedAnimationGraphNode,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::SerializedAnimationNodeType,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::ThreadedAnimationGraph,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::ThreadedAnimationGraphs,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::_::deserialize::__Field,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::_::deserialize::__Field,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::_::deserialize::__Field,Enum,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::_::deserialize::__Visitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::_::deserialize::__Visitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::graph::_::deserialize::__Visitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::morph::WeightsCurve,Struct,Missing,,,
bevy,elicit_bevy,bevy_animation::morph::WeightsCurveEvaluator,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::AntiAliasPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::contrast_adaptive_sharpening::CasPipeline,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::contrast_adaptive_sharpening::CasPipelineKey,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::contrast_adaptive_sharpening::CasPipelineSpecializer,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::contrast_adaptive_sharpening::CasPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::contrast_adaptive_sharpening::CasUniform,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::contrast_adaptive_sharpening::DenoiseCas,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::contrast_adaptive_sharpening::ViewCasPipeline,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::contrast_adaptive_sharpening::node::CasNode,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::fxaa::CameraFxaaPipeline,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::fxaa::FxaaPipeline,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::fxaa::FxaaPipelineKey,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::fxaa::FxaaPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::fxaa::node::FxaaNode,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaBindGroups,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaBlendingWeightCalculationPipeline,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaEdgeDetectionPipeline,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaInfoUniform,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaInfoUniformBuffer,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaInfoUniformOffset,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaLuts,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaNeighborhoodBlendingPipeline,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaNeighborhoodBlendingPipelineKey,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaNode,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaPipelines,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaSpecializedRenderPipelines,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::SmaaTextures,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::smaa::ViewSmaaPipelines,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::taa::TaaPipeline,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::taa::TaaPipelineKey,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::taa::TaaPipelineSpecializer,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::taa::TemporalAntiAliasHistoryTextures,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::taa::TemporalAntiAliasNode,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::taa::TemporalAntiAliasPipelineId,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::taa::TemporalAntiAliasPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_anti_alias::taa::TemporalAntiAliasing,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::app::App,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::app::AppError,Enum,Missing,,,
bevy,elicit_bevy,bevy_app::app::HokeyPokey,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::hotpatch::HotPatchPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::AnimationSystems,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::First,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::FixedFirst,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::FixedLast,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::FixedMain,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::FixedMainScheduleOrder,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::FixedPostUpdate,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::FixedPreUpdate,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::FixedUpdate,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::Last,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::Main,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::MainScheduleOrder,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::MainSchedulePlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::PostStartup,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::PostUpdate,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::PreStartup,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::PreUpdate,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::RunFixedMainLoop,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::RunFixedMainLoopSystems,Enum,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::SpawnScene,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::Startup,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::main_schedule::Update,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::panic_handler::PanicHandlerPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::plugin::PlaceholderPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::plugin::PluginsState,Enum,Missing,,,
bevy,elicit_bevy,bevy_app::plugin_group::NoopPluginGroup,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::plugin_group::PluginGroupBuilder,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::propagate::HierarchyPropagatePlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::propagate::Inherited,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::propagate::Propagate,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::propagate::PropagateOver,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::propagate::PropagateSet,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::propagate::PropagateStop,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::schedule_runner::RunMode,Enum,Missing,,,
bevy,elicit_bevy,bevy_app::schedule_runner::ScheduleRunnerPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::sub_app::SubApp,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::sub_app::SubApps,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::task_pool_plugin::TaskPoolOptions,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::task_pool_plugin::TaskPoolPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::task_pool_plugin::TaskPoolThreadAssignmentPolicy,Struct,Missing,,,
bevy,elicit_bevy,bevy_app::terminal_ctrl_c_handler::TerminalCtrlCHandlerPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::AssetEventSystems,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::AssetMetaCheck,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::AssetMode,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::AssetPlugin,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::AssetTrackingSystems,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::UnapprovedPathMode,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::asset_changed::AssetChangeCheck,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::asset_changed::AssetChanged,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::asset_changed::AssetChangedFetch,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::asset_changed::AssetChangedState,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::asset_changed::AssetChanges,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::AssetIndex,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::AssetIndexAllocator,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::Assets,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::AssetsMutIterator,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::DenseAssetStorage,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::Entry,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::InvalidGenerationError,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::LoadedUntypedAsset,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::_::deserialize::__Field,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::_::deserialize::__FieldVisitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::assets::_::deserialize::__Visitor,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::event::AssetEvent,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::event::AssetLoadFailedEvent,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::event::UntypedAssetLoadFailedEvent,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::folder::LoadedFolder,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::handle::AssetHandleProvider,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::handle::DropEvent,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::handle::Handle,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::handle::StrongHandle,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::handle::UntypedAssetConversionError,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::handle::UntypedHandle,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::id::AssetId,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::id::ErasedAssetIndex,Struct,Missing,,,
bevy,elicit_bevy,bevy_asset::id::InternalAssetId,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::id::UntypedAssetId,Enum,Missing,,,
bevy,elicit_bevy,bevy_asset::id::UntypedAssetIdConversionError,Enum,Missing,,,
