type_path,type_kind,api_family,is_generic,lifetime_params,type_params,elicit_impl,proof_test,composition_test,row_kind,primary_gap_kind,our_traits_complete,direct_our_traits_complete,covered_indirectly,coverage_provider,wrapper_paths,direct_missing_our_traits,feature_unlock_possible,feature_owner_crate,blocked_reason,has_serialize,has_deserialize,has_json_schema,has_elicitation,has_elicit_introspect,has_elicit_spec,has_elicit_prompt_tree,has_to_code_literal,can_be_direct,missing_external_traits,missing_our_traits,candidate_unlock_features,action,notes
tiff::decoder::Decoder,Struct,tiff::decoder::Decoder,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,georaster,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `tiff::decoder::Decoder`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
tiff::error::TiffResult,TypeAlias,tiff::error::TiffResult,false,,,Missing,Missing,Missing,MissingOurTraits,MissingOurTraits,false,false,false,,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,false,georaster,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,absent,absent,absent,absent,absent,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree;ToCodeLiteral,,"Add support traits to `tiff::error::TiffResult`: Elicitation, ElicitIntrospect, ElicitSpec, ElicitPromptTree, ToCodeLiteral; external blockers remain: Serialize(absent), Deserialize(absent), JsonSchema(absent).",
georaster::geo::Coordinate,Struct,georaster::geo::Coordinate,false,,,Missing,Covered,Missing,ExternallyBlocked,,true,true,false,direct,,,false,georaster,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,present,present,present,present,present,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),,,"`georaster::geo::Coordinate` is everything-but complete. Do not flag missing `ElicitComplete`; direct impl is blocked by upstream traits: Serialize(absent), Deserialize(absent), JsonSchema(absent)",
georaster::geotiff::GeoTiffReader,Struct,georaster::geotiff::GeoTiffReader,true,,R,Missing,Missing,Missing,ExternallyBlocked,,true,true,false,direct,,,false,georaster,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,present,present,present,present,present,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),,,"`georaster::geotiff::GeoTiffReader` is everything-but complete. Do not flag missing `ElicitComplete`; direct impl is blocked by upstream traits: Serialize(absent), Deserialize(absent), JsonSchema(absent)",
georaster::geotiff::ImageInfo,Struct,georaster::geotiff::ImageInfo,false,,,Missing,Covered,Missing,ExternallyBlocked,,true,true,false,direct,,,false,georaster,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,present,present,present,present,present,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),,,"`georaster::geotiff::ImageInfo` is everything-but complete. Do not flag missing `ElicitComplete`; direct impl is blocked by upstream traits: Serialize(absent), Deserialize(absent), JsonSchema(absent)",
georaster::geotiff::Pixels,Struct,georaster::geotiff::Pixels,true,'a,R,Missing,Missing,Missing,ExternallyBlocked,,true,true,false,direct,,,false,georaster,lifetime-bound type: direct `ElicitComplete` is illegal because `Elicitation` requires `'static`,absent,absent,absent,absent,absent,present,present,present,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),,,"`georaster::geotiff::Pixels` is everything-but complete. Do not flag missing `ElicitComplete`; direct impl is blocked by upstream traits: Serialize(absent), Deserialize(absent), JsonSchema(absent)",
georaster::geotiff::RasterValue,Enum,georaster::geotiff::RasterValue,false,,,Missing,Covered,Missing,ExternallyBlocked,,true,true,false,direct,,,false,georaster,"orphan rule blocks direct `ElicitComplete` until upstream provides: Serialize(absent), Deserialize(absent), JsonSchema(absent)",absent,absent,absent,present,present,present,present,present,false,Serialize(absent);Deserialize(absent);JsonSchema(absent),,,"`georaster::geotiff::RasterValue` is everything-but complete. Do not flag missing `ElicitComplete`; direct impl is blocked by upstream traits: Serialize(absent), Deserialize(absent), JsonSchema(absent)",
