item_path,item_kind,status,shadow_item,drift_confidence,shadow_elicit_impl,shadow_can_be_direct,shadow_missing_external_traits,shadow_missing_our_traits,notes
wkb::writer::multilinestring::write_multi_line_string,Function,Covered,elicit_wkb::writer::write_multi_line_string,,Missing,,,,
wkb::writer::multipoint::multi_point_wkb_size,Function,Covered,elicit_wkb::writer::multi_point_wkb_size,,Missing,,,,
wkb::writer::multipoint::write_multi_point,Function,Covered,elicit_wkb::writer::write_multi_point,,Missing,,,,
wkb::writer::multipolygon::multi_polygon_wkb_size,Function,Covered,elicit_wkb::writer::multi_polygon_wkb_size,,Missing,,,,
wkb::writer::multipolygon::write_multi_polygon,Function,Covered,elicit_wkb::writer::write_multi_polygon,,Missing,,,,
wkb::writer::options::WriteOptions,Struct,Covered,elicit_wkb::writer::WriteOptions,,Missing,true,,Elicitation;ElicitIntrospect;ElicitSpec;ElicitPromptTree,
wkb::writer::point::point_wkb_size,Function,Covered,elicit_wkb::writer::point_wkb_size,,Missing,,,,
wkb::writer::point::write_point,Function,Covered,elicit_wkb::writer::write_point,,Missing,,,,
wkb::writer::polygon::polygon_wkb_size,Function,Covered,elicit_wkb::writer::polygon_wkb_size,,Missing,,,,
wkb::writer::polygon::write_polygon,Function,Covered,elicit_wkb::writer::write_polygon,,Missing,,,,
wkb::writer::rect::rect_wkb_size,Function,Covered,elicit_wkb::writer::rect_wkb_size,,Missing,,,,
wkb::writer::rect::write_rect,Function,Covered,elicit_wkb::writer::write_rect,,Missing,,,,
wkb::writer::triangle::triangle_wkb_size,Function,Covered,elicit_wkb::writer::triangle_wkb_size,,Missing,,,,
wkb::writer::triangle::write_triangle,Function,Covered,elicit_wkb::writer::write_triangle,,Missing,,,,
